"ReachID";"X";"Y";"MonitoringProgram";"Watershed";"currentms";"tempmaxC";"orgmicropollTU";"saprowqclass";"shade";"Lit_Inp";"C_P";"C_N";"Occurrence.Chironomidae";"Occurrence.Simuliidae";"Occurrence.Limoniidae";"Occurrence.Baetisrhodani";"Occurrence.Baetisalpinus";"Occurrence.Empididae";"Occurrence.Ceratopogonidae";"Occurrence.Elmidae";"Occurrence.Nemouramortoni";"Occurrence.Baetismuticus";"Occurrence.Drususdiscolor";"Occurrence.Protonemuralateralis";"Occurrence.Athericidae";"Occurrence.Gammaridae";"Occurrence.Rhyacophilatristis";"Occurrence.Planariidae";"Occurrence.Leuctrabraueri";"Occurrence.Nemouraminima";"Occurrence.Hydraenidae";"Occurrence.Ecdyonurushelveticus";"Occurrence.Sericostoma";"Occurrence.Habroleptoidesconfusa";"Occurrence.Scirtidae";"Occurrence.Brachypterarisi";"Occurrence.Sphaeriidae";"Occurrence.Blephariceridae";"Occurrence.Odontocerumalbicorne";"Occurrence.Leuctranigra";"Occurrence.Tipulidae";"Occurrence.Drususannulatus";"Occurrence.Dixidae";"Occurrence.Drususbiguttatus";"Occurrence.Metanoeaflavipennis";"Occurrence.Ecdyonurusvenosus";"Occurrence.Habrophlebialauta";"Occurrence.Stratiomyidae";"Occurrence.Potamophylaxcingulatus";"Occurrence.Protonemuraintricata";"Occurrence.Centroptilumluteolum";"Occurrence.Hydropsychesiltalai";"Occurrence.Epeorusassimilis";"Occurrence.Baetislutheri";"Occurrence.Rhithrogenapicteti";"Occurrence.Dugesiidae";"Occurrence.Paraleptophlebiasubmarginata";"Occurrence.Dytiscidae";"Occurrence.Lymnaeidae";"Occurrence.Habroleptoidesauberti";"Occurrence.Isoperlagrammatica";"Occurrence.Capnioneuranemuroides";"Occurrence.Melampophylaxmucoreus";"Occurrence.Ecclisopteryxmadida";"Occurrence.Nemouraflexuosa";"Occurrence.Chaetopteryxvillosa";"Occurrence.Ephemeradanica";"Occurrence.Erpobdellidae";"Occurrence.Allogamusauricollis";"Occurrence.Serratellaignita";"Occurrence.Hydroptila";"Occurrence.Glossiphoniidae";"Occurrence.Ecdyonurustorrentis";"Occurrence.Rhithrogenasemicolorata";"Occurrence.Gyrinidae";"Occurrence.Caenismacrura";"Occurrence.Torleyamajor";"Occurrence.Psychomyiapusilla";"Occurrence.Hydropsycheincognita";"Occurrence.Protonemurameyeri";"Occurrence.Baetisvardarensis";"Occurrence.Caenisluctuosa";"Occurrence.Hydropsycheangustipennis";"Occurrence.Gomphidae";"Occurrence.Besdolusimhoffi";"Occurrence.Cheumatopsychelepida";"Occurrence.Micrasemasetiferum";"Occurrence.Nemouraavicularis";"Occurrence.Ithytrichia";"Occurrence.Leuctramajor";"Occurrence.Philopotamusludificatus";"Occurrence.Metanoearhaetica";"Occurrence.Rhithrogenaputhzi";"Occurrence.Epeorusalpicola";"Occurrence.Protonemuranimborum";"Occurrence.Chloroperlasusemicheli";"Occurrence.Leuctrahippopus";"Occurrence.Hydropsychetenuis";"Occurrence.Amphinemurasulcicollis";"Occurrence.Cryptothrixnebulicola";"Occurrence.Isoperlarivulorum";"Occurrence.Rhyacophilapraemorsa";"Occurrence.Rhyacophilapubescens";"Occurrence.Cordulegastridae";"Occurrence.Electrogenaujhelyii";"Occurrence.Siphonoperlatorrentium";"Occurrence.Sialidae";"Occurrence.Nemouramarginata";"Occurrence.Rhithrogenaloyolaea";"Occurrence.Protonemurabrevistyla";"Occurrence.Rhyacophilaintermedia";"Occurrence.Rhithrogenaalpestris";"Occurrence.Ecdyonuruspicteti";"Occurrence.Drususmelanchaetes";"Occurrence.Rhithrogenadegrangei";"Occurrence.Leuctraschmidi";"Occurrence.Dictyogenusalpinus";"Occurrence.Drususmuelleri";"Occurrence.Rhyacophilaglareosa";"Occurrence.Drususnigrescens";"Occurrence.Hydropsycheinstabilis";"Occurrence.Melampophylaxmelampus";"Occurrence.Tinodesunicolor";"Occurrence.Potamopyrgusantipodarum";"Occurrence.Rhyacophilahirticornis";"Occurrence.Thaumaleidae";"Occurrence.Rhithrogenagrischuna";"Occurrence.Rhyacophilarectispina";"Occurrence.Drususalpinus";"Occurrence.Isoperlacarbonaria";"Occurrence.Catagapetusnigrans";"Occurrence.Leuctraarmata"
"CH114BEAa";623712;199785;"NAWA TREND";"Aare";0.582164236532239;18.1529574814893;-2.07628091687188;1;0.2173074;136.768113704595;0.0121781012314104;1.37313268039695;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;1;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH032AGAa";634429;239712;"NAWA TREND";"Aare";0.367917091744791;20.1851208899171;-0.96759811378234;2;0.6;510.814863771564;0.0293132216415569;2.68183277587947;1;0;1;1;0;0;1;1;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH089SOAa";634000;244025;"NAWA TREND";"Aare";0.782207781420952;20.8515429003919;-0.957845156098471;1;0.5223972;284.750856540941;0.0228173323250229;2.47819274871167;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH063BEAa";628600;232897;"NAWA TREND";"Aare";1.20377268091087;20.2913976614665;-1.06331668826717;2;0.3793548;229.034629982709;0.037221190297192;3.52073098134124;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH133BEAa";612505;168441;"NAWA TREND";"Aare";1.15631516702309;15.7872128408615;-2.18322927397896;1;0.2621358;147.047180124148;0.0061785857238365;0.864716053481232;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH033AGAa";649071;246917;"NAWA TREND";"Aare";0.687166672631018;20.6632316911862;-0.770752463318712;2;0.598089;491.327290002894;0.0428541046142284;4.54722858959673;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH092BEAa";616905;170230;"NAWA TREND";"Aare";1.16773459057454;14.0509644286485;-2.08524095874507;1;0.3809526;194.51800169727;0.00546726021814042;0.79287371989234;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH054FRAa";572353;167639;"NAWA TREND";"Aare";0.658761224169641;17.8036761006114;-1.12843089010061;1;0.455238;423.754813648483;0.0211043079425346;2.18348741613387;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH035AGAa";662285;268508;"NAWA TREND";"Aare";0.617034717880771;20.6666973087832;-0.753577954235053;2;0.5038464;273.063613929005;0.0446420486708688;4.55759215714407;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CH022VDAa";566183;191947;"NAWA TREND";"Aare";0.393929245277976;21.5474635513776;-0.970232706826604;2;0.5827476;380.894385928059;0.0442388721410875;4.1446803803021;1;0;1;1;0;0;1;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
